,Mean RMSLE,Prediction Time,RMSLE Month 1,RMSLE Month 2,RMSLE Month 3,RMSLE Month 4,RMSLE Month 5,RMSLE Month 6,RMSLE Month 7,RMSLE Month 8,RMSLE Month 9,RMSLE Month 10,RMSLE Month 11,RMSLE Month 12
Best kNN ORIGINAL deleted,0.945584,0.1655652523,1.147797,1.167398,1.159773,1.007571,0.943518,0.932188,0.864602,0.830242,0.834979,0.787930,0.768478,0.764453
Best kNN ORIGINAL mean,0.930471,0.1674489975,1.090532,1.166310,1.131962,0.986680,0.920765,0.920254,0.870014,0.838785,0.815229,0.764188,0.764536,0.772436
Best kNN ORIGINAL to_0,0.894491,0.1866455078,1.041220,1.120991,1.076663,0.971507,0.900455,0.892051,0.838226,0.794446,0.770639,0.736261,0.733725,0.736836
Best kNN PCA deleted,1.115540,0.0416321754,1.384026,1.394161,1.315917,1.187736,1.206689,1.174778,1.022719,0.981387,0.925631,0.917772,0.857662,0.807241
Best kNN PCA mean,1.059280,0.0426628590,1.300733,1.367654,1.232885,1.157612,1.108982,1.066683,0.964126,0.953417,0.897604,0.878809,0.844583,0.738181
Best kNN PCA to_0,1.011844,0.0436437130,1.271530,1.285900,1.173687,1.132371,1.067894,1.001557,0.899193,0.885690,0.827199,0.835213,0.819018,0.752766
Best MLP ORIGINAL deleted,1.557260,0.0104501247,2.040877,2.023337,1.809057,1.555960,1.716134,1.424883,1.249411,1.244304,1.396734,1.396222,1.239846,1.275021
Best MLP ORIGINAL mean,1.239693,0.0135471821,1.645426,1.697346,1.434036,1.274703,1.288000,1.132893,1.040393,1.054134,1.047097,1.039240,0.980083,0.948321
Best MLP ORIGINAL to_0,1.259099,0.0103089809,1.701337,1.803363,1.330816,1.308590,1.299040,1.117579,1.077249,1.103043,0.970700,1.062495,1.023964,0.980052
Best MLP PCA deleted,1.181526,0.0064344406,1.478951,1.548468,1.409268,1.198363,1.228227,1.101470,1.063367,1.042132,0.981366,1.015010,0.960866,0.943248
Best MLP PCA mean,1.153128,0.0061480999,1.594821,1.562494,1.352778,1.201232,1.229468,1.002460,0.977115,0.910096,0.910979,0.949916,0.917871,0.907951
Best MLP PCA to_0,1.074045,0.0035674572,1.361295,1.323563,1.247288,1.149078,1.057793,1.032641,0.956238,0.913755,0.940641,0.977356,0.908377,0.872945
Best Decision Tree ORIGINAL deleted,1.020698,0.0105755329,1.148726,1.191469,1.272839,1.122720,0.998608,0.987706,1.008614,0.912988,0.905769,0.854221,0.861693,0.875126
Best Decision Tree ORIGINAL mean,0.894682,0.0084176064,0.952509,1.075643,1.080995,0.932223,0.866924,0.861173,0.846397,0.764255,0.803555,0.819112,0.816271,0.852647
Best Decision Tree ORIGINAL to_0,0.896890,0.0085084438,0.927972,0.976019,1.077226,1.005673,0.914318,0.887120,0.941349,0.791302,0.830473,0.779749,0.764385,0.806328
Best Decision Tree PCA deleted,1.272474,0.0025997162,1.550903,1.679069,1.475687,1.257712,1.256737,1.213126,1.146625,1.178646,1.104768,1.113426,1.093684,1.017264
